run_id,optimizer_model,learner_model,iter,passed,failed,errors,bad,best_bad,t_gen_s,t_pytest_s,t_parse_s,t_prompt_s,t_llm_s,t_total_s,merged_rules_chars,failed_tests
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,1,9,2,0,2,2,366.003584,91.942521,0.000827,2.5e-05,11.14844,469.098881,3434,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,2,9,2,0,2,2,359.282261,6.460429,0.000808,2.9e-05,9.77433,375.522301,3066,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,3,9,2,0,2,2,312.755441,10.678306,0.000778,1.2e-05,11.329989,334.768709,3348,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,4,9,2,0,2,2,438.349166,19.52881,0.000838,2.2e-05,15.210732,473.093153,3644,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,1,10,1,0,1,1,304.495996,62.216488,0.000629,2e-05,20.280643,386.996833,4589,tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,2,9,2,0,2,1,361.864888,65.819739,0.000735,6.6e-05,9.631267,437.320308,3409,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,3,11,0,0,0,0,185.132243,0.677928,0.000368,0.0,0.0,185.811511,3409,
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,1,11,0,0,0,0,159.301834,0.757091,0.000299,0.0,0.0,160.059576,3409,
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,1,9,2,0,2,2,266.096482,9.323474,0.000668,3.4e-05,19.988945,295.412386,3848,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,2,10,1,0,1,1,320.451634,3.405635,0.000728,3e-05,12.941564,336.803528,3289,tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
