run_id,iter,passed,failed,errors,bad,best_bad,t_gen_s,t_pytest_s,t_parse_s,t_prompt_s,t_llm_s,t_total_s,merged_rules_chars,rules_chars,failed_tests
codegen_4o_1,1,0,0,1,999,999,0.4513,0.0000,0.0014,0.0001,0.0000,0.4530,0,0,GENERATOR_FAILED
codegen_4o_1,2,0,0,1,999,999,0.2780,0.0000,0.0004,0.0001,0.0000,0.2786,1188,1188,GENERATOR_FAILED
codegen_4o_1,3,0,0,1,999,999,0.2957,0.0000,0.0004,0.0001,0.0000,0.2963,1188,1188,GENERATOR_FAILED
codegen_4o_1,4,0,0,1,999,999,0.2831,0.0000,0.0003,0.0001,0.0000,0.2837,1188,1188,GENERATOR_FAILED
codegen_4o_1,5,0,0,1,999,999,0.2901,0.0000,0.0003,0.0001,0.0000,0.2907,1188,1188,GENERATOR_FAILED
codegen_4o_1,6,0,0,1,999,999,0.2977,0.0000,0.0005,0.0001,0.0000,0.2984,1188,1188,GENERATOR_FAILED
codegen_4o_1,7,0,0,1,999,999,0.2885,0.0000,0.0003,0.0001,0.0000,0.2890,1188,1188,GENERATOR_FAILED
codegen_4o_1,8,0,0,1,999,999,0.2830,0.0000,0.0003,0.0001,0.0000,0.2835,1188,1188,GENERATOR_FAILED
codegen_4o_1,9,0,0,1,999,999,0.2842,0.0000,0.0003,0.0001,0.0000,0.2848,1188,1188,GENERATOR_FAILED
codegen_4o_1,10,0,0,1,999,999,0.2840,0.0000,0.0004,0.0001,0.0000,0.2845,1188,1188,GENERATOR_FAILED
codegen_4o_1,11,0,0,1,999,999,0.2981,0.0000,0.0003,0.0001,0.0000,0.2986,1189,1189,GENERATOR_FAILED
codegen_4o_1,12,0,0,1,999,999,0.3130,0.0000,0.0006,0.0001,0.0000,0.3139,1189,1189,GENERATOR_FAILED
codegen_4o_1,13,0,0,1,999,999,0.2952,0.0000,0.0005,0.0001,0.0000,0.2959,1189,1189,GENERATOR_FAILED
codegen_4o_1,14,0,0,1,999,999,0.3023,0.0000,0.0004,0.0001,0.0000,0.3028,1189,1189,GENERATOR_FAILED
codegen_4o_1,15,0,0,1,999,999,0.3809,0.0000,0.0005,0.0001,0.0000,0.3817,1189,1189,GENERATOR_FAILED
codegen_4o_2,1,0,0,1,999,999,0.2983,0.0000,0.0016,0.0001,0.0000,0.3002,0,0,GENERATOR_FAILED
codegen_4o_2,2,0,0,1,999,999,0.2906,0.0000,0.0004,0.0001,0.0000,0.2913,1188,1188,GENERATOR_FAILED
codegen_4o_2,3,0,0,1,999,999,0.2858,0.0000,0.0003,0.0001,0.0000,0.2864,1188,1188,GENERATOR_FAILED
codegen_4o_2,4,0,0,1,999,999,0.2842,0.0000,0.0003,0.0002,0.0000,0.2848,1188,1188,GENERATOR_FAILED
codegen_4o_2,5,0,0,1,999,999,0.2990,0.0000,0.0003,0.0001,0.0000,0.2996,1188,1188,GENERATOR_FAILED
codegen_4o_2,6,0,0,1,999,999,0.2840,0.0000,0.0004,0.0001,0.0000,0.2846,1188,1188,GENERATOR_FAILED
codegen_4o_2,7,0,0,1,999,999,0.3008,0.0000,0.0004,0.0001,0.0000,0.3015,1188,1188,GENERATOR_FAILED
codegen_4o_2,8,0,0,1,999,999,0.2944,0.0000,0.0004,0.0001,0.0000,0.2950,1188,1188,GENERATOR_FAILED
